path,body,headers,label
/login,username=user&password=pass123,"{""User-Agent"": ""Mozilla/5.0"", ""Accept"": ""*/*""}",0
/,,"{""User-Agent"": ""python-requests/2.28"", ""Accept"": ""*/*""}",0
/api/v1/resource,"{""id"":123}","{""User-Agent"": ""curl/7.68.0"", ""Accept"": ""*/*""}",0
/index.html,hello world,"{""User-Agent"": ""Mozilla/5.0"", ""Accept"": ""*/*""}",0
/index.html,hello world,"{""User-Agent"": ""Mozilla/5.0"", ""Accept"": ""*/*""}",0
/index.html,hello world,"{""User-Agent"": ""curl/7.68.0"", ""Accept"": ""*/*""}",0
/index.html,hello world,"{""User-Agent"": ""Mozilla/5.0"", ""Accept"": ""*/*""}",0
/index.html,hello world,"{""User-Agent"": ""Mozilla/5.0"", ""Accept"": ""*/*""}",0
/login,username=user&password=pass123,"{""User-Agent"": ""Mozilla/5.0"", ""Accept"": ""*/*""}",0
/files,<meta http-equiv=refresh content=0;url=javascript:alert(1)>,"{""User-Agent"": ""malicious-bot"", ""X-Forwarded-For"": ""192.0.2.137""}",1
/search,q=test,"{""User-Agent"": ""curl/7.68.0"", ""Accept"": ""*/*""}",0
/,,"{""User-Agent"": ""Mozilla/5.0"", ""Accept"": ""*/*""}",0
/search,q=test,"{""User-Agent"": ""Mozilla/5.0"", ""Accept"": ""*/*""}",0
/search,q=test,"{""User-Agent"": ""python-requests/2.28"", ""Accept"": ""*/*""}",0
/profile,<script>alert(1)</script>,"{""User-Agent"": ""malicious-bot"", ""X-Forwarded-For"": ""192.0.2.117""}",1
/comment,javascript:alert(1),"{""User-Agent"": ""malicious-bot"", ""X-Forwarded-For"": ""192.0.2.61""}",1
/search,1 OR 1=1,"{""User-Agent"": ""malicious-bot"", ""X-Forwarded-For"": ""192.0.2.165""}",1
/,,"{""User-Agent"": ""Mozilla/5.0"", ""Accept"": ""*/*""}",0
/view,<meta http-equiv=refresh content=0;url=javascript:alert(1)>,"{""User-Agent"": ""malicious-bot"", ""X-Forwarded-For"": ""192.0.2.150""}",1
/search,q=test,"{""User-Agent"": ""Mozilla/5.0"", ""Accept"": ""*/*""}",0
/search,' OR '1'='1' -- ,"{""User-Agent"": ""malicious-bot"", ""X-Forwarded-For"": ""192.0.2.193""}",1
/login,username=user&password=pass123,"{""User-Agent"": ""curl/7.68.0"", ""Accept"": ""*/*""}",0
